"gene_id","gene_name","sum_gene","self_average","other_average","p_value","FDR","summary_logFC","significant"
"ENSG00000261617","LINC02177",275,0,0.00959035242610318,1,1,-0.0200698739627887,FALSE
"ENSG00000227946","AC007383.2",78,0,0.00447097932540855,1,1,-0.0240983308795793,FALSE
"ENSG00000137801","THBS1",410,0.0120277470431202,0.00884385108566692,1,1,0.0120277470431202,FALSE
"ENSG00000245317","AC008393.1",185,0,0.0103471660435138,1,1,-0.014871888114801,FALSE
"ENSG00000286562","Z98742.4",102,0,0.00488078311221824,1,1,-0.0265826695166552,FALSE
"ENSG00000239998","LILRA2",31,0.00647366116056213,0.000579105770521968,1,1,0.00647366116056213,FALSE
"ENSG00000250447","LINC02105",30,0,0.00345070185471893,1,1,-0.0174301606762414,FALSE
"ENSG00000228672","PROB1",106,0,0.00461486742680768,1,1,-0.0127592442428852,FALSE
"ENSG00000168229","PTGDR",151,0,0.00379721473959501,1,1,-0.016206894970795,FALSE
"ENSG00000287340","AC007222.2",128,0,0.00668160934426566,1,1,-0.0157004377717803,FALSE
"ENSG00000285873","AL445253.1",160,0.00734189995044194,0.00421474104742596,1,1,-0.00382081952145188,FALSE
"ENSG00000121207","LRAT",188,0,0.00458142117990993,1,1,-0.0155903054722257,FALSE
"ENSG00000287043","AL392083.2",78,0,0.00520145077006951,1,1,-0.017728257874506,FALSE
"ENSG00000170324","FRMPD2",725,0.00525372123923375,0.00937438527284748,1,1,-0.0285259934054169,FALSE
"ENSG00000260588","AC027702.1",169,0,0.00357265132357205,1,1,-0.0168530656932761,FALSE
"ENSG00000224023","EDRF1-DT",828,0.00701421904464041,0.0358284422192876,1,1,-0.0109096025544422,FALSE
"ENSG00000267097","SLC14A2-AS1",424,0,0.00957694286408011,1,1,-0.0128313128775952,FALSE
"ENSG00000246323","AC113382.1",380,0,0.0142178594855873,1,1,-0.0258675781535321,FALSE
"ENSG00000100583","SAMD15",812,0.0119128367743232,0.0257782418689008,1,1,-0.00471857801619584,FALSE
"ENSG00000260618","AC025917.1",106,0,0.00583251493468045,1,1,-0.0127153871187335,FALSE
"ENSG00000279220","GPR1-AS",49,0.00674720500037525,0.00116766559716312,1,1,0.00674720500037525,FALSE
"ENSG00000173988","LRRC63",3220,0.019575071972597,0.0262795776917754,1,1,0.000627402280030331,FALSE
"ENSG00000284708","AL031731.1",234,0.0105126426779855,0.00770192861733276,1,1,-0.00535599734681043,FALSE
"ENSG00000250170","RASA2-IT1",57,0,0.00332918246751871,1,1,-0.0127658546280841,FALSE
"ENSG00000267169","AC022098.1",267,0.0041389985263014,0.00810457188333953,1,1,-0.0206325179500635,FALSE
"ENSG00000174175","SELP",89,0,0.00408418098817123,1,1,-0.0145116535439073,FALSE
"ENSG00000136110","CNMD",341,0,0.00943271264896524,1,1,-0.0188801433235954,FALSE
"ENSG00000137807","KIF23",223,0,0.00877538892413891,1,1,-0.0115530494419818,FALSE
"ENSG00000169174","PCSK9",185,0,0.00718470234374581,1,1,-0.0090391622021117,FALSE
"ENSG00000239388","ASB14",183,0,0.00661894284590527,1,1,-0.00523520620143495,FALSE
"ENSG00000273493","AC098479.1",57,0,0.00268594559336071,1,1,-0.0147050233080795,FALSE
"ENSG00000287676","AC096642.2",155,0.00744504790667133,0.00462934810940212,1,1,-0.00636814861006953,FALSE
"ENSG00000233421","LINC01783",63,0.00280074174607784,0.00446934856878803,1,1,-0.0131970272508125,FALSE
"ENSG00000167419","LPO",127,0.00744504790667133,0.00502390493792918,1,1,-0.00681154832258501,FALSE
"ENSG00000181631","P2RY13",59,0,0.0022578438700879,1,1,-0.0142136195710858,FALSE
"ENSG00000285680","AL355481.1",97,0,0.00638441160622105,1,1,-0.0244157514754695,FALSE
"ENSG00000267778","AC004221.1",87,0.00744463552038087,0.00605711555959719,1,1,-0.0138144714893578,FALSE
"ENSG00000184731","FAM110C",516,0.00551378168308338,0.0203092825495541,1,1,-0.0114976227403045,FALSE
"ENSG00000260118","AL157700.1",139,0,0.00722302885881939,1,1,-0.0164296829167448,FALSE
"ENSG00000139209","SLC38A4",207,0,0.0068576787884647,1,1,-0.00837248247828943,FALSE
"ENSG00000176387","HSD11B2",344,0.00670082481544026,0.019501756865468,1,1,-0.00723337455520183,FALSE
"ENSG00000152292","SH2D6",149,0,0.00767988563759076,1,1,-0.0264740005239724,FALSE
"ENSG00000066336","SPI1",662,0.0110459869864634,0.0238302054158126,1,1,-0.00735172980186035,FALSE
"ENSG00000105392","CRX",64,0.00707574344484871,0.00285952486387429,1,1,0.00707574344484871,FALSE
"ENSG00000106648","GALNTL5",49,0,0.00252074946885796,1,1,-0.0138471884849373,FALSE
"ENSG00000273108","AL121929.2",562,0.0125206515895116,0.0184590855804225,1,1,-0.0123845964613241,FALSE
"ENSG00000268601","AC115522.1",64,0,0.00334712632575438,1,1,-0.0146509260639489,FALSE
"ENSG00000218510","LINC00339",452,0.00577113268798604,0.0195561925683184,1,1,-0.0247598559465626,FALSE
"ENSG00000212128","TAS2R13",229,0,0.00720354793606464,1,1,-0.0207006400871734,FALSE
"ENSG00000243944","AC117386.2",388,0,0.00730094289481116,1,1,-0.0105323237406641,FALSE
"ENSG00000272440","AC080013.6",129,0.01147693369756,0.00766876183901351,1,1,-0.00632220361913353,FALSE
"ENSG00000234740","AL162386.2",110,0,0.00302639523162297,1,1,-0.0146502823520649,FALSE
"ENSG00000283052","LINC02456",91,0,0.00390139796700555,1,1,-0.0103966600410373,FALSE
"ENSG00000269982","AC018809.2",54,0,0.00206925332514958,1,1,-0.0142010345398715,FALSE
"ENSG00000254370","AC025871.2",85,0,0.00547155348781678,1,1,-0.0142010345398715,FALSE
"ENSG00000159387","IRX6",243,0.00729268882114434,0.00515411957631476,1,1,0.00729268882114434,FALSE
"ENSG00000173991","TCAP",314,0.00759367373630616,0.014070186718725,1,1,-0.0151404898627001,FALSE
"ENSG00000260019","LINC01992",315,0,0.00173444803961099,1,1,-0.0178526962843254,FALSE
"ENSG00000175967","FO393415.1",271,0,0.00767337762986655,1,1,-0.0134254457494104,FALSE
"ENSG00000283199","C13orf46",315,0,0.00899943554217262,1,1,-0.0143464073122543,FALSE
"ENSG00000234396","AL590822.1",342,0,0.0138068425119639,1,1,-0.0289624033413983,FALSE
"ENSG00000272076","AC090186.1",299,0.0145692673621203,0.0126423220354817,1,1,-0.00588946703084457,FALSE
"ENSG00000250850","AL161781.2",58,0,0.00440406795597226,1,1,-0.020567779616407,FALSE
"ENSG00000287270","AL137140.1",134,0,0.00150071978274714,1,1,-0.0123504516303431,FALSE
"ENSG00000275601","AC011330.2",547,0.0154092040861146,0.0264999855844747,1,1,-0.0027986123030836,FALSE
"ENSG00000223343","AC137630.1",266,0.0113485326217656,0.0131201924691579,1,1,-0.0372293361878282,FALSE
"ENSG00000270100","AC012065.4",137,0,0.00451374254787536,1,1,-0.0141748854705524,FALSE
"ENSG00000285804","AC025774.1",648,0.00896412242762978,0.0149888907637063,1,1,-0.0102515277586319,FALSE
"ENSG00000122861","PLAU",75,0,0.0057847840860392,1,1,-0.0103298966933001,FALSE
"ENSG00000237316","Z82196.2",137,0,0.00555049165952139,1,1,-0.0141771640242742,FALSE
"ENSG00000233200","LINC02634",100,0,0.00388058756503799,1,1,-0.0116002996626148,FALSE
"ENSG00000265359","AC004231.3",82,0,0.00366709213291327,1,1,-0.0136842665016424,FALSE
"ENSG00000177283","FZD8",242,0.00335793188817436,0.0101576206146694,1,1,-0.0308872160633425,FALSE
"ENSG00000264007","AC104564.2",127,0,0.0041160005408927,1,1,-0.0201200987971928,FALSE
"ENSG00000167414","GNG8",81,0.00670082481544026,0.00365147498705641,1,1,-0.0159704910960976,FALSE
"ENSG00000178645","C10orf53",155,0,0.00583756897561073,1,1,-0.0163122081091259,FALSE
"ENSG00000260366","AC026803.1",48,0.00683321536828248,0.00145261877336646,1,1,0.00683321536828248,FALSE
"ENSG00000118231","CRYGD",200,0.00612404955152992,0.0157016498025908,1,1,-0.0438077532121372,FALSE
"ENSG00000261447","AL162412.1",73,0,0.00534493043083434,1,1,-0.0160910114122661,FALSE
"ENSG00000134955","SLC37A2",90,0,0.00258699993387027,1,1,-0.0135573056678635,FALSE
"ENSG00000203995","ZYG11A",118,0,0.00670367068419022,1,1,-0.0126607133951044,FALSE
"ENSG00000276255","LINC02809",59,0,0.00220493243949315,1,1,-0.00586471148550208,FALSE
"ENSG00000271858","CYB561D2",82,0,0.004251560027765,1,1,-0.0126607133951044,FALSE
"ENSG00000253910","PCDHGB2",142,0,0.00416917720900683,1,1,-0.00586471148550208,FALSE
"ENSG00000261638","AC092378.1",78,0,0.00406033741590776,1,1,-0.0122103584808743,FALSE
"ENSG00000287550","AL450345.2",112,0,0.00129957721186617,1,1,-0.00586471148550208,FALSE
"ENSG00000101082","SLA2",219,0,0.0103529258960758,1,1,-0.017917482421365,FALSE
"ENSG00000251148","AL158068.2",264,0.00761975162826073,0.0114248211837347,1,1,-0.0159493813114258,FALSE
"ENSG00000237461","AL359710.1",136,0.00504739684290491,0.00569267043610312,1,1,-0.0115840179476141,FALSE
"ENSG00000183760","ACP7",158,0,0.00415589730872968,1,1,-0.00586471148550208,FALSE
"ENSG00000226332","AL354836.1",101,0,0.00558754763138448,1,1,-0.00773830222893727,FALSE
"ENSG00000286031","AC232271.2",57,0,0.00392095865455448,1,1,-0.0104665279481988,FALSE
"ENSG00000255202","AL049629.1",141,0.00692757221431698,0.00401700248502538,1,1,0.00692757221431698,FALSE
"ENSG00000241832","CECR3",32,0,0.00123541464214149,1,1,-0.00586471148550208,FALSE
"ENSG00000269921","AC068620.1",230,0,0.00783892033642839,1,1,-0.0211919521153298,FALSE
"ENSG00000285608","AL161665.1",105,0,0.0064461622308642,1,1,-0.0181898351647419,FALSE
"ENSG00000145757","SPATA9",356,0,0.00779416961187429,1,1,-0.0147653966385458,FALSE
"ENSG00000267311","AC007673.1",43,0,0.0024979559595651,1,1,-0.0139806929773898,FALSE
"ENSG00000205002","AARD",302,0.013740803356216,0.0160979776443332,1,1,-0.0045524916822834,FALSE
"ENSG00000286693","AC105230.1",219,0,0.00714881042626909,1,1,-0.0272785554353742,FALSE
"ENSG00000236508","ATP13A5-AS1",105,0,0.00709096408801584,1,1,-0.0191079491169405,FALSE
"ENSG00000287939","AL096709.1",74,0,0.002368791123413,1,1,-0.0145140239836401,FALSE
"ENSG00000287452","AL161734.2",125,0,0.00543830346449332,1,1,-0.010508916545841,FALSE
"ENSG00000287284","AC130814.1",66,0,0.00262736221162216,1,1,-0.0167235923027513,FALSE
"ENSG00000247324","AC010547.1",147,0,0.0070024578959411,1,1,-0.0205180720836531,FALSE
"ENSG00000125878","TCF15",79,0.00865747313880544,0.00181428717993546,1,1,0.00865747313880544,FALSE
"ENSG00000234139","AL035420.1",272,0,0.00698550001887539,1,1,-0.0184808196548647,FALSE
"ENSG00000277270","AL160412.1",257,0.00612755753874871,0.00873153117011236,1,1,-0.0118203841047214,FALSE
"ENSG00000237772","LINC02631",259,0,0.00742537959018354,1,1,-0.019430575806644,FALSE
"ENSG00000165025","SYK",499,0.0123944902753653,0.00506070918274677,1,1,-0.00540464704132822,FALSE
"ENSG00000180423","HARBI1",484,0.0076737542230472,0.0201978885556439,1,1,-0.0341371385105994,FALSE
"ENSG00000260955","AC100821.2",146,0,0.00535427170832311,1,1,-0.0200331654340655,FALSE
"ENSG00000255686","AC073864.1",59,0,0.00419802943038044,1,1,-0.0117544747425344,FALSE
"ENSG00000221887","HMSD",114,0,0.00275085572409299,1,1,-0.00350584811893856,FALSE
"ENSG00000225113","AL355310.1",75,0,0.00219383068308129,1,1,-0.0173086819771614,FALSE
"ENSG00000282851","BISPR",50,0,0.00148476215849369,1,1,-0.00681789714629963,FALSE
"ENSG00000235989","MORC2-AS1",231,0.00610208199093412,0.00953567027258815,1,1,-0.0284758781610211,FALSE
"ENSG00000284705","AL596257.1",82,0.00712800319324173,0.00188362861783579,1,1,0.00712800319324173,FALSE
"ENSG00000169291","SHE",196,0,0.0024173016059707,1,1,-0.0147152630065691,FALSE
"ENSG00000261465","AC099518.4",98,0,0.00392324865908987,1,1,-0.0141204040869482,FALSE
"ENSG00000100341","PNPLA5",510,0,0.0140883461052024,1,1,-0.0195836592304599,FALSE
"ENSG00000271427","AL358072.1",128,0,0.00649993284546975,1,1,-0.0209851934133869,FALSE
"ENSG00000269887","AL391001.1",264,0,0.0103822083888025,1,1,-0.0143312270041811,FALSE
"ENSG00000226699","AL360181.1",199,0,0.00574617390956511,1,1,-0.00982273490817941,FALSE
"ENSG00000234263","AL024508.1",70,0,0.00188200438637971,1,1,-0.01411739822113,FALSE
"ENSG00000231539","AC010132.1",85,0,0.0024881089122259,1,1,-0.0215150279185705,FALSE
"ENSG00000175820","CCDC168",141,0,0.00430559715795073,1,1,-0.0143312270041811,FALSE
"ENSG00000214688","C10orf105",67,0,0.00259392038028367,1,1,-0.01411739822113,FALSE
"ENSG00000261247","GOLGA8T",73,0,0.00240213238931978,1,1,-0.0143312270041811,FALSE
"ENSG00000154133","ROBO4",109,0.00674720500037525,0.00141647561978591,1,1,0.00674720500037525,FALSE
"ENSG00000231652","AL590428.1",37,0,0.00162307255188636,1,1,-0.015826313734923,FALSE
"ENSG00000285921","AP000779.1",228,0,0.00451850426150647,1,1,-0.0172772707570046,FALSE
"ENSG00000278383","AL031673.1",78,0.00699543758187738,0.00431509670108008,1,1,-0.0207240855978546,FALSE
"ENSG00000134940","ACRV1",220,0.00584917248079268,0.0114985427020351,1,1,-0.0214645375612421,FALSE
"ENSG00000215162","LINC00269",93,0.00703533013626131,0.00419063468348105,1,1,-0.0132380399786712,FALSE
"ENSG00000260120","AC104066.3",34,0.00650133602663901,0.000837457918983304,1,1,0.00650133602663901,FALSE
"ENSG00000279727","LINC02033",259,0,0.0117569698540163,1,1,-0.0216857480255511,FALSE
"ENSG00000286417","AL133334.1",412,0.00703343828567025,0.0228702217768475,1,1,-0.0519799005920381,FALSE
"ENSG00000137098","SPAG8",602,0.00753283271464343,0.0210148717862663,1,1,-0.0105137688189692,FALSE
"ENSG00000167771","RCOR2",217,0.0126815374569804,0.00920757423913931,1,1,-0.0262242577931151,FALSE
"ENSG00000258871","AC004828.1",220,0,0.00906184194503756,1,1,-0.0231763473359737,FALSE
